Finding 53 -- prey fatigue and encirclement reversibility
N=350 n_pred=10 R_enc=0.50*Rg seeds=5 r_rec=0.01

mode=speed:
  r_fat  Phi_enc  Phi_recovered  Q_enc  Q_rec
  0.00   0.8954   0.9588         0.0000  0.0000
  0.05   0.9388   0.9994         0.1154  0.0117
  0.10   0.8759   0.9997         0.2952  0.0367
  0.20   0.8511   0.9998         0.5927  0.1464
  0.40   0.9180   0.9995         0.8066  0.2335
  0.80   0.9175   0.9986         0.7363  0.1762

mode=align:
  r_fat  Phi_enc  Phi_recovered  Q_enc  Q_rec
  0.00   0.8954   0.9588         0.0000  0.0000
  0.05   0.8840   0.9997         0.0943  0.0009
  0.10   0.8306   0.9998         0.2279  0.0137
  0.20   0.6989   0.9998         0.6265  0.1151
  0.40   0.7276   0.9995         0.7504  0.1971
  0.80   0.6929   0.9994         0.8047  0.2269

